evidence_id,normalized_community_name,original_community_name,workbook,sheet,source_row,population_ine_2018,estimated_registered_2023,population_missing,estimated_registered_missing,available_fields,evidence_class,verification_status
EV-0105,San Felipe de Jesús,San Felipe de Jesús,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,2,5316,3700,false,false,"Población (INE 2018); Empadronados Est. (2023); Nivel de Acceso; Prioridad Estratégica",campaign_research,"Cell values validated; methodology and estimates require verification"
EV-0105,San Juan del Obispo,San Juan del Obispo,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,3,4352,3000,false,false,"Población (INE 2018); Empadronados Est. (2023); Nivel de Acceso; Prioridad Estratégica",campaign_research,"Cell values validated; methodology and estimates require verification"
EV-0105,San Bartolomé Becerra,San Bartolomé Becerra,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,4,2056,1450,false,false,"Población (INE 2018); Empadronados Est. (2023); Nivel de Acceso; Prioridad Estratégica",campaign_research,"Cell values validated; methodology and estimates require verification"
EV-0105,Santa Ana,Santa Ana,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,5,1908,1300,false,false,"Población (INE 2018); Empadronados Est. (2023); Nivel de Acceso; Prioridad Estratégica",campaign_research,"Cell values validated; methodology and estimates require verification"
EV-0105,Santa Inés Monte Pulciano,Santa Inés Monte Pulciano,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,6,1075,750,false,false,"Población (INE 2018); Empadronados Est. (2023); Nivel de Acceso; Prioridad Estratégica",campaign_research,"Cell values validated; methodology and estimates require verification"
EV-0105,Santa Catarina Bobadilla,Santa Catarina Bobadilla,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,7,933,650,false,false,"Población (INE 2018); Empadronados Est. (2023); Nivel de Acceso; Prioridad Estratégica",campaign_research,"Cell values validated; methodology and estimates require verification"
EV-0105,San Pedro Las Huertas,San Pedro Las Huertas,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,8,4733,3300,false,false,"Población (INE 2018); Empadronados Est. (2023); Nivel de Acceso; Prioridad Estratégica",campaign_research,"Cell values validated; methodology and estimates require verification"
